Title,Date,Permalink,Categories,Tags
"The Role of the Private Sector in Improving Public Services in Arab Nations","2018-01-08 09:11:26",https://limslb.com/news-20987/,"BELIEF|الصحف|المنافسة والتجارة>المنافسة","Competition|Monopolies|Taxes|احتكار|الضرائب|قطاع خاص|قطاع عام|منافسة"
"Economics 101: Sharjah science park research sets finely finessed example","2018-01-08 09:22:03",https://limslb.com/news-20988/,مقالات,
"لتحويل أزمة اللاجئين السوريين من نقمة الى نعمة اقتصادية","2017-10-25 11:38:38",https://limslb.com/news-20989/,"BELIEF|الصحف|أزمة الدين>العجز المالي|النمو الاقتصادي>النمو","Economic Growth|Government|Taxes|استثمار|الحكومة|الضرائب|النمو"
"من يحمي الفقير من السياسات الحمائية؟","2018-02-15 11:11:54",https://limslb.com/news-20990/,"BELIEF|الصحف|المنافسة والتجارة>المنافسة","Competition|Government|Monopolies|احتكار|الحكومة|الشركات الخاصة|منافسة"
"من يحرم الشعب اللبناني من المياه؟","2017-09-05 08:49:57",https://limslb.com/news-20991/,"BELIEF|الصحف|المنافسة والتجارة>المنافسة|البنية التحتية>المياه وشبكة الصرف الصحي","Competition|Government|Monopolies|Water|احتكار|الحكومة|الشركات الخاصة|منافسة|مياه"
"التنوع الجندري وأداء الصناديق الاستثمارية","2018-02-15 11:00:25",https://limslb.com/news-20992/,مقالات,
"LLA 401 Policy Fair","2018-05-09 06:43:55",https://limslb.com/news-20995/,"Leaders' Academy>LLA 401: Policy Fair",
"هذا هو الحل لمشكلة الكهرباء في لبنان بكلفة صفر دولار","2016-12-09 07:36:18",https://limslb.com/news-20997/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Monopolies|احتكار|الشركات الخاصة|الكهرباء|تقنين|منافسة|مولدات"
"معهد دراسات السوق: الحل الأمثل لمشكلة الكهرباء بالسماح لأي شركة بانتاج الطاقة وبيعها مباشرة للمواطن","2016-12-12 07:47:15",https://limslb.com/news-20998/,"PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مواضيع أخرى","Electricity|الكهرباء|قطاع خاص"
"حل مشكلة الكهرباء بكلفة صفر دولار؟","2016-12-13 07:51:32",https://limslb.com/news-21000/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|الشركات الخاصة|الكهرباء|قطاع خاص|منافسة"
"كهرباء بلا كلفة؟","2016-12-13 07:52:24",https://limslb.com/news-21001/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مواضيع أخرى","Electricity|Privatization|الخصخصة|الشركات الخاصة|الكهرباء|قطاع خاص"
"جعجع ""يكهرب"" الموازنة ويرث الحريرية السياسية!","2017-02-28 07:53:23",https://limslb.com/news-21003/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مواضيع أخرى","Electricity|Privatization|الخصخصة|الشركات الخاصة|الكهرباء|الموازنة|قطاع خاص|وزارة الطاقة"
"أبشروا ايها اللبنانيون... أنتم من سيدفع تكلفة خطة الكهرباء","2017-04-11 06:53:49",https://limslb.com/news-21004/,"BELIEF|PISTOL|أزمة الدين>الدين العام|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Subsidies|البواخر|الكهرباء|الموازنة|دعم|مولدات|وزارة الطاقة"
"اللبنانيون سيدفعون ثمن كلفة خطة وزير الطاقة... فما هي؟","2017-04-13 06:54:18",https://limslb.com/news-21005/,"APPLE-C|BELIEF|PISTOL|الأزمة المصرفية>التدقيق الجنائي|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Renewable Energy|Taxes|Tender|البواخر|الضرائب|الطاقة المتجددة|الكهرباء|المناقصات|منافسة|مولدات|وزارة الطاقة"
"مصير خطة الكهرباء ""الإنقاذية"" رهن الأخذ بملاحظات ""القوات اللبنانية"" حاصباني لـ ""النهار"": التنفيذ سيتأخر... وحتماً لن يكون هذا الصيف!","2017-05-01 06:54:46",https://limslb.com/news-21006/,"APPLE-C|BELIEF|PISTOL|الأزمة المصرفية>التدقيق الجنائي|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Electricity|IPP|Tender|البواخر|الشركات الخاصة|الكهرباء|المناقصات|مولدات|وزارة الطاقة"
"اعتماد الـ IPP للكهرباء يكلّف الدولة صفر دولار بدل 10 مليارات مارديني لـ ""النهار"": علينا أن نقر بالواقع الأليم... السفن آتية لتبقى","2017-05-08 06:55:19",https://limslb.com/news-21007/,"APPLE-C|BELIEF|PISTOL|الأزمة المصرفية>التدقيق الجنائي|أزمة الدين>الدين العام|الصحف|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مواضيع أخرى","Competition|Electricity|IPP|Taxes|Tender|افلاس|الشركات الخاصة|الضرائب|الكهرباء|المناقصات|منافسة"
"شركات لم تفقد أمل المشاركة في الخطة الإنقاذية للكهرباء عرضان أميركي وأوروبي لم يجدا آذاناً صاغية لدى المسؤولين","2017-06-17 06:55:55",https://limslb.com/news-21008/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Government|Monopolies|احتكار|الحكومة|الشركات الخاصة|الكهرباء|منافسة|مولدات|وزارة الطاقة"
"المعهد اللبناني لدراسات السوق ينظم ندوة للدكتور طوم بالمر: الاقتصاد اللبناني متخلف","2017-07-09 06:56:25",https://limslb.com/news-21009/,"APPLE-C|BELIEF|الأزمة المصرفية>إعادة هيكلة المصارف|الأزمة المصرفية>التدقيق الجنائي|الصحف|المنافسة والتجارة>المنافسة|النمو الاقتصادي>النمو|مواضيع أخرى","Corruption|Economic Growth|IMF|Reform|أزمة اقتصادية|اصلاح|النمو|خسائر|صندوق النقد الدولي|طوم بالمر|فساد"
"ندوة حوار للدكتور طوم بالمر بدعوة من المعهد اللبناني لدراسات السوق","2017-07-12 06:56:54",https://limslb.com/news-21010/,"APPLE-C|BELIEF|الأزمة المصرفية>التدقيق الجنائي|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|أزمة الدين>صندوق النقد الدولي ومؤتمرات سيدر|مواضيع أخرى","Corruption|Government|IMF|Reform|اصلاح|الحكومة|خسائر|صندوق النقد الدولي|طوم بالمر|فساد"
"بالمر : الكهرباء والفساد والبيروقراطية تُعطِّل الإقتصاد اللبناني","2017-07-12 06:57:20",https://limslb.com/news-21011/,"APPLE-C|BELIEF|الأزمة المصرفية>إعادة هيكلة المصارف|الصحف|مواضيع أخرى","Corruption|Government|الحكومة|خسائر|طوم بالمر|فساد"
"ندوة حول السياسات الاقتصادية بدعوة من المعهد اللبناني لدراسات السوق","2017-06-12 06:57:46",https://limslb.com/news-21012/,"APPLE-C|BELIEF|الأزمة المصرفية>التدقيق الجنائي|الصحف|أزمة الدين>صندوق النقد الدولي ومؤتمرات سيدر|مواضيع أخرى","Corruption|IMF|Reform|اصلاح|صندوق النقد الدولي|طوم بالمر|فساد"
"لبنان ""يقمع"" إنتاج الطاقة محلياً ويستعين بشركات أجنبية لتوفير الكهرباء!","2017-06-09 06:58:11",https://limslb.com/news-21013/,"APPLE-C|BELIEF|PISTOL|الأزمة المصرفية>التدقيق الجنائي|أزمة الدين>الدين العام|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Government|Taxes|Tender|الحكومة|الشركات الخاصة|الضرائب|الكهرباء|المناقصات|منافسة"
"هل يجب استبعاد ""كارادينيز"" التركية عن مناقصة الكهرباء؟","2017-09-14 06:58:37",https://limslb.com/news-21014/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Government|Monopolies|احتكار|البواخر|الحكومة|الشركات الخاصة|الكهرباء|منافسة"
"من يحرم الشعب اللبناني من المياه؟","2017-09-05 08:26:39",https://limslb.com/news-21015/,"أزمة الدين>الدين العام|الصحف|المنافسة والتجارة>المنافسة|البنية التحتية>المياه وشبكة الصرف الصحي|مواضيع أخرى","Competition|Government|Monopolies|Water|احتكار|الحكومة|الشركات الخاصة|عجز|منافسة|مياه|هدر"
"بعد أشهر على إقرارها...هل بدأت تأثيرات السلسلة تظهر في الاقتصاد؟","2018-02-15 12:52:33",https://limslb.com/news-21021/,"BELIEF|الصحف|أزمة الدين>العجز المالي|المنافسة والتجارة>المنافسة|النمو الاقتصادي>النمو","Economic Growth|Taxes|أزمة اقتصادية|الضرائب|النمو|عجز|قطاع خاص|قطاع عام"
"Program Manager","2018-03-27 06:35:17",https://limslb.com/?p=21023,"مواضيع أخرى",
"قطاع الكهرباء في لبنان: الحلول في متناول أيدينا","2018-03-20 09:21:59",https://limslb.com/news-21026/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|الخصخصة|الشركات الخاصة|الكهرباء|تقنين|قطاع خاص|منافسة"
"جورجيا انتقلت من تقنين 19 ساعة إلى كهرباء 24/24 وضع لبنان مشابه... فكيف يمكن الإفادة من تجربتها؟","2018-03-26 04:51:41",https://limslb.com/news-21027/,"BELIEF|PISTOL|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|البواخر|الشركات الخاصة|الكهرباء|تقنين|قطاع خاص|منافسة|مولدات"
"أزمة الكهرباء في لبنان","2016-12-12 12:06:07",https://limslb.com/news-21029/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية","Competition|Electricity|الكهرباء|قطاع خاص"
"اقتصادنا: شو في حل للكهرباء في لبنان","2016-12-14 12:11:45",https://limslb.com/news-21031/,"BELIEF|PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية","Electricity|Ministry of Energy and Water|Private Sector|Privatization|البواخر|الخصخصة|الشركات الخاصة|الكهرباء|وزارة الطاقة"
"هل الخصخصة هي فعلاً المنقذ الوحيد للكهرباء من أزمتها؟","2017-03-06 12:14:48",https://limslb.com/news-21033/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات إذاعية","Competition|Electricity|Government|Monopolies|Privatization|احتكار|الخصخصة|الشركات الخاصة|الكهرباء|منافسة"
"نقاش بين رئيس نقابة عمال ومستخدمي كهرباء لبنان ورئيس المعهد اللبناني لدراسات السوق","2017-09-22 11:16:58",https://limslb.com/news-21034/,"BELIEF|PISTOL|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية","Competition|Electricity|Taxes|احتكار|الشركات الخاصة|الضرائب|الكهرباء|عجز|قطاع خاص|منافسة|مولدات"
"تقرير تلفزيون المستقبل حول الندوة الحوارية للدكتور طوم بالمر","2017-07-12 11:18:06",https://limslb.com/news-21035/,"أخبار إقتصادية","Recession|ازمة|الانكماش|تدهور اقتصادي"
"مقابلة لرئيس المعهد اللبناني لدراسات السوق الدكتور باتريك مارديني على صوت لبنان حول الكهرباء","2017-08-05 11:20:50",https://limslb.com/news-21036/,"APPLE-C|PISTOL|المنافسة والتجارة>المنافسة|مقابلات إذاعية","Competition|Electricity|Government|Monopolies|Tender|احتكار|البواخر|الشركات الخاصة|الكهرباء|المناقصات|منافسة|وزارة الطاقة"
"الحل المثالي لمشكلة الكهرباء هو فتح السوق للمنافسة","2017-05-25 11:21:42",https://limslb.com/news-21037/,"BELIEF|PISTOL|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مقابلات إذاعية","Competition|Electricity|Monopolies|Taxes|احتكار|الشركات الخاصة|الضرائب|الكهرباء|منافسة"
"ملف وصلة المنصورية وخط التوتر العالي في نقطة عالسطر","2017-05-25 11:22:37",https://limslb.com/news-21038/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مقابلات إذاعية|مواضيع أخرى","Electricity|Government|الحكومة|الكهرباء|تلوث|وزارة الطاقة"
"مرتبة لبنان في مؤشر التنافسية العالمية من الأسواء في العالم","2017-10-22 11:23:32",https://limslb.com/news-21039/,"BELIEF|PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|البنية التحتية>المرفأ والمطار|المنافسة والتجارة>المنافسة|البنية التحتية>المياه وشبكة الصرف الصحي|مقابلات تلفزيونية","Competition|Electricity|Port|Privatization|Water|احتكار|الخصخصة|الشركات الخاصة|الكهرباء|مرفأ|منافسة|مياه"
"VDL - نقطة عالسطر - LIMS","2018-02-13 12:24:14",https://limslb.com/news-21040/,"BELIEF|PISTOL|أزمة الدين>الدين العام|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مقابلات إذاعية",Debt|Deficit|Electricity|Government|Taxes|الحكومة|الضرائب|الكهرباء|دين
"Tele Liban - Mashakel wa Houloul","2018-03-19 12:25:11",https://limslb.com/news-21041/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية","Competition|Electricity|الشركات الخاصة|الكهرباء|منافسة"
"نهاركم سعيد: استجرار الطاقة عبر البواخر","2018-04-19 11:26:02",https://limslb.com/news-21042/,"مواضيع أخرى",البواخر|الخصخصة|الكهرباء|منافسة
"MTV News - Cedre - LIMS","2018-10-23 11:36:55",https://limslb.com/news-21043/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مقابلات تلفزيونية","Electricity|الكهرباء|سيدر|وزارة الطاقة"
"مؤتمر سيدر، ديون إضافية تنفقها الدولة على البنى التحتية يدفع ثمنها المواطن","2018-04-04 11:34:33",https://limslb.com/news-21044/,"BELIEF|PISTOL|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية|البنية التحتية>وسائل النقل","Central Bank|Competition|Debt|Electricity|Financial Engineering|Monopolies|Reform|احتكار|اصلاح|البواخر|الشركات الخاصة|الضرائب|الكهرباء|سيدر|عجز|منافسة|مولدات|نقل"
"حلّ معضلة الكهرباء ليس بالبواخر وانما بتشريع انتاج الكهرباء","2018-03-09 09:57:29",https://limslb.com/news-21045/,"PISTOL|أزمة الدين>الدين العام|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات إذاعية","Competition|Electricity|Government|Monopolies|Taxes|احتكار|البواخر|الحكومة|الشركات الخاصة|الضرائب|الكهرباء|منافسة"
"حل لأزمة الكهرباء بكلفة صفر دولار","2018-04-20 09:02:04",https://limslb.com/news-21046/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات إذاعية|مواضيع أخرى","Competition|Electricity|البواخر|الكهرباء|الموازنة|عجز|قطاع خاص"
"بدائل مجدية غير البواخر لأزمة الكهرباء في لبنان","2018-03-21 10:04:49",https://limslb.com/news-21047/,"BELIEF|PISTOL|أزمة الدين>العجز المالي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات تلفزيونية","Debt|Electricity|البواخر|الشركات الخاصة|الكهرباء|عجز"
"حركة التجدد نظّمت طاولة مستديرة بعنوان ""كي يؤتى مؤتمر سيدر ثماره""","2018-04-23 07:11:26",https://limslb.com/news-21049/,"BELIEF|أزمة الدين>الدين العام|الصحف|النمو الاقتصادي>النمو|أزمة الدين>صندوق النقد الدولي ومؤتمرات سيدر","Economic Growth|Government|IMF|Reform|اصلاح|الحكومة|النمو|انفاق|صندوق النقد الدولي"
"LLA 101 Economic Foundations of Prosperity","2018-05-09 05:52:57",https://limslb.com/news-21050/,"Leaders' Academy>LLA 101: Economic Foundations",
"Internet: Grow the Economy, By Boosting Internet Speed","2018-05-14 12:15:23",https://limslb.com/news-21054/,"الأبحاث>بنية تحتية (أبحاث)",
"Media: TV Stations’ Ultimatum: Diversify or Die","2018-05-14 12:19:52",https://limslb.com/news-21055/,"مواضيع أخرى",
"القطاع العام في لبنان مبني على مكافأة الفشل وسوء خدمة المواطن","2018-05-09 06:17:08",https://limslb.com/news-21056/,"BELIEF|أزمة الدين>الدين العام|مقابلات إذاعية","Debt|Government|Taxes|الضرائب|دين|قطاع خاص|قطاع عام"
"Breathing, Drinking, Eating - Public Good?","2017-08-10 08:02:19",https://limslb.com/news-21058/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات|النمو الاقتصادي>النمو|شبكة الأمان الاجتماعي",
"قفزة في الخسائر المترتبة على القرصنة تشجّع الشركات على تعزيز نفقات الحماية","2017-02-13 05:26:35",https://limslb.com/news-21060/,"BELIEF|الأزمة المصرفية>إعادة هيكلة المصارف|البنية التحتية>الاتصالات|الصحف",Bank|المصارف|انترنت|خسائر
"الحذر من «البيتكوين» غير مبرّر ومسارها مختلف عن العملات الدوليّة","2017-10-10 04:34:10",https://limslb.com/news-21061/,"ERASE|أزمة الليرة>التضخم وانخفاض قيمة الليرة|الصحف|أزمة الليرة>العملات الرقمية","Bitcoin|Currency|Digital Currency|العملة"
"التمويل الخاص ضرورة لمراكز الفكر الخاصة","2018-05-16 04:43:43",https://limslb.com/news-21062/,مقالات,
"Why is Bureaucracy Inefficient?","2017-07-14 07:01:42",https://limslb.com/news-21063/,المؤتمرات,Monopolies|احتكار
"Moral Foundations of the Market Economy","2017-08-01 07:10:37",https://limslb.com/news-21064/,المؤتمرات,
"LIMS at Liberty Forum and Freedom Dinner 2017","2017-11-08 08:21:34",https://limslb.com/news-21065/,"المؤتمرات|النمو الاقتصادي>النمو",اقتصاد
"How to Increase the Freedom of Trade in Arab Countries","2017-11-26 05:37:29",https://limslb.com/news-21066/,المؤتمرات,
"Empowering Youth and Women in the Arab World Though Economic Reforms","2017-11-30 05:42:48",https://limslb.com/news-21067/,المؤتمرات,
"Business Friendly Reforms: The Case of Lebanon","2017-12-08 05:49:33",https://limslb.com/news-21068/,"البنية التحتية|المؤتمرات",
"The Vital Role of Think Tanks in Local Communities","2017-12-10 05:58:46",https://limslb.com/news-21069/,المؤتمرات,اقتصاد
"LIMS Takes Part in Policy Writing and Advocacy Workshop","2018-01-28 06:07:31",https://limslb.com/news-21070/,المؤتمرات,"سيدر|قطاع خاص"
"LIMS Won Atlas Best Think Tank Award in the MENA Region","2017-12-09 06:38:12",https://limslb.com/news-21071/,"PISTOL|شبكة الأمان الاجتماعي>الدعم|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات",Electricity|Government|Subsidies|الحكومة|الكهرباء|دعم
"The Ronald Coase Institute Workshop","2017-05-14 05:59:05",https://limslb.com/news-21072/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات",Electricity|Monopolies|احتكار|الكهرباء
"Acton University","2017-06-20 06:03:46",https://limslb.com/news-21073/,المؤتمرات,
"Think Tank Empowerment Project","2017-07-30 06:07:27",https://limslb.com/news-21074/,المؤتمرات,
"Liberals, Property, and the Environment","2017-10-15 06:12:39",https://limslb.com/news-21075/,المؤتمرات,
"Fifth Annual Conference of Civil Society Organizations - MENA","2017-11-17 07:21:14",https://limslb.com/news-21076/,المؤتمرات,
"Lebanon’s Government Budget","2017-01-26 10:17:29",https://limslb.com/news-21077/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات|النمو الاقتصادي>النمو",Deficit|Electricity|Reform|اصلاح|الكهرباء|عجز
"The National Convention of Ahrar","2017-06-04 09:21:52",https://limslb.com/news-21078/,المؤتمرات,اقتصاد
"Feasible Economic Reforms and Win-Win Solutions","2017-07-08 09:27:21",https://limslb.com/news-21079/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات",Electricity|Reform|اصلاح|الكهرباء
"Lebanon's Accession to the World Trade Organization","2017-09-28 09:36:19",https://limslb.com/news-21080/,المؤتمرات,اقتصاد
"Corruption and Civil Peace","2017-10-09 09:37:42",https://limslb.com/news-21081/,"البنية التحتية|المؤتمرات|النمو الاقتصادي>النمو",Corruption|Reform|اصلاح|فساد
"Li and Ken's Roundtable with Political Parties","2017-12-19 10:40:37",https://limslb.com/news-21082/,المؤتمرات,
"Building Bridges for a Brighter Future","2018-03-21 11:10:00",https://limslb.com/news-21083/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المؤتمرات",Electricity|Government|Reform|الحكومة|الكهرباء|منافسة
"قطاع الكهرباء مسؤول عن 45% من الدين العام ووزارة الطاقة تمنع الشركات الخاصة من الإنتاج","2018-05-17 08:03:13",https://limslb.com/news-21084/,"BELIEF|PISTOL|أزمة الدين>الدين العام|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Government|Monopolies|احتكار|الحكومة|الشركات الخاصة|الكهرباء|الموازنة|عجز|قطاع خاص|منافسة"
"LIMS Director Voices Concern Over CEDRE’s Proposed Solutions at Roundtable Event","2018-04-20 04:43:02",https://limslb.com/news-21085/,"المؤتمرات|أزمة الدين>صندوق النقد الدولي ومؤتمرات سيدر",اقتصاد|سيدر
"مارديني: جلسة مجلس الوزراء اليوم لا يجب أن يقر فيها بند البواخر","2018-05-21 07:45:28",https://limslb.com/news-21086/,"PISTOL|الأزمة المصرفية>التدقيق الجنائي|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة|مقابلات إذاعية","BOT|Competition|Electricity|Government|Tender|البواخر|الحكومة|الشركات الخاصة|الطاقة المتجددة|الكهرباء|المناقصات|وزارة الطاقة"
"رغم تجديد عقد البواخر... الصيف سيظلّ معتماً","2018-05-21 07:35:05",https://limslb.com/news-21087/,"BELIEF|PISTOL|أزمة الدين>الدين العام|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Monopolies|احتكار|البواخر|الشركات الخاصة|الكهرباء|انفاق|عجز|قطاع خاص|منافسة"
"د. مارديني: سلفة ""كهرباء لبنان"" لن تغطي كلفة الإنتاج... ونحن متجهون نحو أزمة","2018-05-21 07:54:18",https://limslb.com/news-21088/,"BELIEF|PISTOL|أزمة الدين>الدين العام|الصحف|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|المنافسة والتجارة>المنافسة","Competition|Electricity|Government|Monopolies|احتكار|البواخر|الحكومة|الشركات الخاصة|الكهرباء|عجز|منافسة|وزارة الطاقة"
"بعض الحلحلة في ملف الكهرباء في أيام الحكومة الأخيرة، وبقية الحل ترحل الى الحكومة القادمة","2018-05-21 08:19:42",https://limslb.com/news-21089/,"PISTOL|البنية التحتية>الكهرباء ومصادر الطاقة المتجددة|مقابلات تلفزيونية",BOT|Electricity|البواخر|الكهرباء
